;user-id;has-experience;no-assistance-entity-f1;recommendations-entity-f1;visualization-entity-f1;combined-entity-f1;no-assistance-mention-f1;recommendations-mention-f1;visualization-mention-f1;combined-mention-f1;no-assistance-overall-f1;recommendations-overall-f1;visualization-overall-f1;combined-overall-f1;no-assistance-relation-f1;recommendations-relation-f1;visualization-relation-f1;combined-relation-f1;no-assistance-time;recommendations-time;visualization-time;combined-time
0;10;False;0.6666666666666666;0.4444444444444445;0.25;0.0;0.5384615384615384;0.8571428571428572;0.6;0.6666666666666666;0.535042735042735;0.7671957671957671;0.41031746031746036;0.48148148148148145;0.4;1.0;0.38095238095238093;0.7777777777777778;586.747;761.935;788.846;616.778
1;11;True;1.0;1.0;0.0;1.0;0.7407407407407408;0.8275862068965518;0.4347826086956522;1.0;0.7707231040564375;0.8912466843501327;0.2625745950554135;1.0;0.5714285714285715;0.8461538461538461;0.35294117647058826;1.0;571.744;298.426;488.414;343.316
2;12;True;0.6666666666666665;0.0;0.8000000000000002;0.4;0.6666666666666666;0.7272727272727272;0.9285714285714286;0.6666666666666667;0.6527777777777777;0.5340909090909091;0.779089026915114;0.5373737373737374;0.625;0.8750000000000001;0.6086956521739131;0.5454545454545455;502.65;650.872;624.898;706.125
3;13;True;0.3333333333333333;0.8;0.6;0.888888888888889;0.8000000000000002;0.6923076923076923;0.6956521739130435;0.7586206896551724;0.6000000000000001;0.6841025641025641;0.6652173913043479;0.8312211415659693;0.6666666666666666;0.5599999999999999;0.7;0.8461538461538461;507.076;425.746;660.822;559.325
4;14;True;1.0;1.0;1.0;0.3333333333333333;0.9333333333333333;1.0;0.8148148148148148;0.7272727272727272;0.8944444444444445;1.0;0.8100664767331435;0.6280451574569222;0.75;1.0;0.6153846153846154;0.823529411764706;480.624;571.579;518.687;764.402
5;15;True;0.8000000000000002;0.0;1.0;0.6666666666666666;0.7272727272727272;0.608695652173913;0.8387096774193549;0.8;0.7818181818181819;0.4057971014492754;0.89247311827957;0.6555555555555556;0.8181818181818182;0.6086956521739131;0.8387096774193549;0.4999999999999999;560.907;556.938;500.71;410.851
6;16;True;0.8;1.0;0.3333333333333333;1.0;0.6666666666666666;0.9655172413793104;0.761904761904762;1.0;0.648888888888889;0.9372236958443856;0.6106934001670844;1.0;0.48000000000000004;0.8461538461538461;0.7368421052631577;1.0;301.707;321.656;311.739;243.799
7;17;False;0.6666666666666666;1.0;0.5;1.0;0.6923076923076923;0.8275862068965518;0.2608695652173913;0.9473684210526316;0.6505223171889839;0.8912466843501327;0.2536231884057971;0.8991228070175438;0.5925925925925927;0.8461538461538461;0.0;0.7499999999999999;483.611;226.684;551.253;490.023
8;18;True;0.3333333333333333;0.8;1.0;0.888888888888889;0.608695652173913;0.6666666666666666;0.9;0.896551724137931;0.44734299516908216;0.6277777777777778;0.7999999999999999;0.8771981530602221;0.4;0.41666666666666663;0.5;0.8461538461538461;305.252;432.149;565.927;544.005
9;19;False;0.4444444444444445;0.0;0.22222222222222224;0.5714285714285715;0.5833333333333334;0.6363636363636365;0.8749999999999999;0.6666666666666666;0.4585346215780999;0.47138047138047146;0.6324074074074074;0.6434676434676435;0.34782608695652173;0.7777777777777778;0.7999999999999999;0.6923076923076923;590.475;525.157;543.579;493.352
10;20;True;0.4;1.0;0.0;1.0;0.5384615384615384;0.8275862068965518;0.608695652173913;1.0;0.517948717948718;0.8912466843501327;0.3880837359098228;1.0;0.6153846153846154;0.8461538461538461;0.5555555555555556;1.0;373.533;236.007;549.621;525.6
